ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A21c_L,A32sg_R,1,0,False,False,337
A21c_L,A39c_L,1,0,False,False,338
A21c_L,A39c_R,1,0,False,False,339
A21c_L,A39rd_L,1,0,False,False,340
A21c_L,A39rd_R,1,0,False,False,341
A21c_L,A39rv_L,1,0,False,False,342
A21c_L,A40c_L,1,0,False,False,343
A21c_L,A44d_L,1,0,False,False,344
A21c_L,A44v_L,1,0,False,False,345
A21c_L,A45c_L,1,0,False,False,346
A21c_L,A6cdl_L,1,0,False,False,347
A21c_L,A6cvl_L,1,0,False,False,348
A21c_L,A6dl_L,1,0,False,False,349
A21c_L,A6vl_L,1,0,False,False,350
A6vl_L,A21c_L,1,0,False,False,350
A21c_L,A8dl_L,1,0,False,False,351
A8dl_L,A21c_L,1,0,False,False,351
A21c_L,A8dl_R,1,0,False,False,352
A21c_L,A8m_R,1,0,False,False,353
A21c_L,A8vl_L,1,0,False,False,354
A8vl_L,A21c_L,1,0,False,False,354
A21c_L,A9/46d_R,1,0,False,False,355
A21c_L,A9/46v_L,1,0,False,False,356
A21c_L,A9l_L,1,0,False,False,357
A21c_L,A9l_R,1,0,False,False,358
A21c_L,A9m_L,1,0,False,False,359
A21c_L,A9m_R,1,0,False,False,360
A21c_L,dmPOS_L,1,0,False,False,361
A21c_L,dmPOS_R,1,0,False,False,362
A21c_L,IFJ_R,1,0,False,False,363
A21c_L,IFS_L,1,0,False,False,364
A21c_L,mOccG_L,1,0,False,False,365
A21c_L,rCunG_R,1,0,False,False,366
A21c_L,Right Crus I,1,0,False,False,367
A21c_L,Right Crus II,1,0,False,False,368
A21c_L,vmPOS_L,1,0,False,False,369
A21c_L,vmPOS_R,1,0,False,False,370
A21r_L,A11m_L,1,0,False,False,371
A21r_L,A12/47l_L,1,0,False,False,372
A21r_L,A20il_L,1,0,False,False,373
A21r_L,A21c_R,1,0,False,False,374
A21r_L,A21r_R,1,0,False,False,375
A21r_R,A21r_L,1,0,False,False,375
A21r_L,A22c_L,1,0,False,False,376
A21r_L,A22c_R,1,0,False,False,377
A21r_L,A22r_R,1,0,False,False,378
A21r_L,A23c_L,1,0,False,False,379
A23c_L,A21r_L,1,0,False,False,379
A21r_L,A23c_R,1,0,False,False,380
A21r_L,A23d_R,1,0,False,False,381
A21r_L,A23v_L,1,0,False,False,382
A23v_L,A21r_L,1,0,False,False,382
A21r_L,A23v_R,1,0,False,False,383
A21r_L,A31_L,1,0,False,False,384
A31_L,A21r_L,1,0,False,False,384
A21r_L,A32p_L,1,0,False,False,385
A21r_L,A32sg_R,1,0,False,False,386
A21r_L,A39c_L,1,0,False,False,387
A21r_L,A39rd_L,1,0,False,False,388
A21r_L,A39rd_R,1,0,False,False,389
A21r_L,A39rv_R,1,0,False,False,390
A21r_L,A40rv_L,1,0,False,False,391
A21r_L,A41/42_L,1,0,False,False,392
A21r_L,A46_R,1,0,False,False,393
A21r_L,A4ll_L,1,0,False,False,394
A21r_L,A5m_L,1,0,False,False,395
A21r_L,A8dl_R,1,0,False,False,396
A21r_L,A8m_L,1,0,False,False,397
A21r_L,A9/46d_L,1,0,False,False,398
A21r_L,A9/46d_R,1,0,False,False,399
A21r_L,A9l_R,1,0,False,False,400
A21r_L,A9m_L,1,0,False,False,401
A9m_L,A21r_L,1,0,False,False,401
A21r_L,A9m_R,1,0,False,False,402
A9m_R,A21r_L,1,0,False,False,402
A21r_L,aSTS_R,1,0,False,False,403
A21r_L,cpSTS_L,1,0,False,False,404
cpSTS_L,A21r_L,1,0,False,False,404
A21r_L,dmPOS_L,1,0,False,False,405
dmPOS_L,A21r_L,1,0,False,False,405
A21r_L,Left I-IV,1,0,False,False,406
A21r_L,rCunG_L,1,0,False,False,407
A21r_L,rCunG_R,1,0,False,False,408
A21r_L,rpSTS_L,1,0,False,False,409
rpSTS_L,A21r_L,1,0,False,False,409
A21r_L,vmPOS_L,1,0,False,False,410
vmPOS_L,A21r_L,1,0,False,False,410
A21r_L,vmPOS_R,1,0,False,False,411
A21r_R,A1/2/3ll_L,1,0,False,False,412
A21r_R,A1/2/3ll_R,1,0,False,False,413
A21r_R,A10m_R,1,0,False,False,414
A21r_R,A12/47o_L,1,0,False,False,415
A21r_R,A14m_L,1,0,False,False,416
A21r_R,A14m_R,1,0,False,False,417
A21r_R,A20cl_R,1,0,False,False,418
A21r_R,A20cv_R,1,0,False,False,419
A21r_R,A20il_R,1,0,False,False,420
A21r_R,A21c_R,1,0,False,False,421
A21r_R,A23c_L,1,0,False,False,422
A23c_L,A21r_R,1,0,False,False,422
A21r_R,A23c_R,1,0,False,False,423
A23c_R,A21r_R,1,0,False,False,423
A21r_R,A23d_L,1,0,False,False,424
A21r_R,A23d_R,1,0,False,False,425
A21r_R,A23v_L,1,0,False,False,426
A21r_R,A23v_R,1,0,False,False,427
A21r_R,A24rv_L,1,0,False,False,428
A21r_R,A32p_L,1,0,False,False,429
A32p_L,A21r_R,1,0,False,False,429
A21r_R,A32p_R,1,0,False,False,430
A21r_R,A32sg_R,1,0,False,False,431
A21r_R,A39c_L,1,0,False,False,432
A21r_R,A39rd_L,1,0,False,False,433
A21r_R,A39rd_R,1,0,False,False,434
A21r_R,A39rv_R,1,0,False,False,435
A21r_R,A40c_L,1,0,False,False,436
A21r_R,A40rv_L,1,0,False,False,437
A21r_R,A46_R,1,0,False,False,438
A21r_R,A4ll_L,1,0,False,False,439
A21r_R,A4ll_R,1,0,False,False,440
A21r_R,A5m_L,1,0,False,False,441
A21r_R,A5m_R,1,0,False,False,442
A21r_R,A7m_L,1,0,False,False,443
A21r_R,A8dl_L,1,0,False,False,444
A8dl_L,A21r_R,1,0,False,False,444
A21r_R,A8vl_R,1,0,False,False,445
A21r_R,A9/46d_L,1,0,False,False,446
A21r_R,A9/46d_R,1,0,False,False,447
A21r_R,A9l_R,1,0,False,False,448
A21r_R,A9m_L,1,0,False,False,449
A9m_L,A21r_R,1,0,False,False,449
A21r_R,A9m_R,1,0,False,False,450
A9m_R,A21r_R,1,0,False,False,450
A21r_R,aSTS_R,1,0,False,False,451
A21r_R,cpSTS_L,1,0,False,False,452
A21r_R,dmPOS_L,1,0,False,False,453
dmPOS_L,A21r_R,1,0,False,False,453
A21r_R,dmPOS_R,1,0,False,False,454
A21r_R,IFJ_R,1,0,False,False,455
A21r_R,Left I-IV,1,0,False,False,456
A21r_R,rCunG_R,1,0,False,False,457
A21r_R,rpSTS_L,1,0,False,False,458
rpSTS_L,A21r_R,1,0,False,False,458
A21r_R,V5/MT+_L,1,0,False,False,459
A21r_R,vmPOS_L,1,0,False,False,460
vmPOS_L,A21r_R,1,0,False,False,460
A21r_R,vmPOS_R,1,0,False,False,461
A22r_L,A1/2/3tonIa_L,1,0,False,False,462
A22r_L,A40rv_L,1,0,False,False,463
A23c_L,mAmyg_L,1,0,False,False,464
A23c_L,vmPu_R,1,0,False,False,465
vmPu_R,A23c_L,1,0,False,False,465
A23c_R,A28/34_R,1,0,False,False,466
A23c_R,A32sg_R,1,0,False,False,467
A23c_R,A38m_R,1,0,False,False,468
A23c_R,NAC_R,1,0,False,False,469
A23c_R,rHipp_R,1,0,False,False,470
A23v_L,A21c_R,1,0,False,False,471
A23v_L,aSTS_L,1,0,False,False,472
A23v_R,A10m_R,1,0,False,False,473
A23v_R,A13_L,1,0,False,False,474
A23v_R,A13_R,1,0,False,False,475
A23v_R,A23v_R,1,0,False,True,476
A23v_R,A31_L,1,0,False,False,477
A23v_R,A32sg_L,1,0,False,False,478
A32sg_L,A23v_R,1,0,False,False,478
A24rv_R,A1/2/3tru_R,1,0,False,False,479
A24rv_R,A23c_L,1,0,False,False,480
A24rv_R,A23c_R,1,0,False,False,481
