Cluster Number,Max Value,Num Voxels,Percentage of Voxel,MNI Coordinates,Region Name,ROI_Idx,ROI_name,Conectivity
5,-15.0,9,8.411214953271028, 6 -48 24,A23d_R,42,A14m_R,-1
5,-12.0,10,9.900990099009901, -3 -54 9,A23v_L,42,A14m_R,-1
5,-12.0,8,10.0, 6 -48 18,A23v_R,42,A14m_R,-1
5,-15.0,7,3.1390134529147984, 0 -63 12,rCunG_R,42,A14m_R,-1
5,-11.0,1,0.5586592178770949, -3 -63 3,rLinG_L,42,A14m_R,-1
5,-15.0,19,6.333333333333333, -6 -63 9,vmPOS_L,42,A14m_R,-1
5,-14.0,33,10.610932475884244, 6 -63 15,vmPOS_R,42,A14m_R,-1
5,-11.0,5,1.492537313432836, 0 -60 3,Left I-IV,42,A14m_R,-1
6,-10.0,1,0.3125, 12 -51 18,dmPOS_R,42,A14m_R,-1
7,-11.0,11,7.189542483660131, 0 -33 39,A23d_L,42,A14m_R,-1
7,-10.0,19,17.757009345794394, 6 -33 36,A23d_R,42,A14m_R,-1
7,-15.0,10,16.39344262295082, -3 -15 30,A24rv_L,42,A14m_R,-1
7,-12.0,43,24.71264367816092, 0 -21 39,A23c_L,42,A14m_R,-1
7,-15.0,45,33.333333333333336, 6 -24 39,A23c_R,42,A14m_R,-1
8,-11.0,1,0.4048582995951417, 3 63 6,A10m_R,42,A14m_R,-1
9,-12.0,4,1.7094017094017093, -3 -57 -51,Left IX,42,A14m_R,-1
10,-10.0,12,2.643171806167401, -42 -69 24,A39rv_L,42,A14m_R,-1
11,-12.0,1,0.6172839506172839, -63 -15 -18,A21c_L,42,A14m_R,-1
11,-11.0,1,0.44052863436123346, -63 -12 -18,A21r_L,42,A14m_R,-1
11,-12.0,3,1.1450381679389312, -63 -15 -15,aSTS_L,42,A14m_R,-1
1,-12.0,5,1.4619883040935673, 63 -18 -15,aSTS_R,43,A12/47o_L,-1
2,-11.0,1,0.29239766081871343, 48 -24 -12,aSTS_R,43,A12/47o_L,-1
3,-10.0,1,0.43859649122807015, -12 42 45,A9l_L,43,A12/47o_L,-1
4,-10.0,1,0.37174721189591076, -15 39 45,A8dl_L,43,A12/47o_L,-1
5,-15.0,25,13.157894736842104, -63 -33 3,A22c_L,43,A12/47o_L,-1
5,-11.0,37,22.839506172839506, -63 -30 -9,A21c_L,43,A12/47o_L,-1
5,-13.0,3,1.3215859030837005, -60 -12 -21,A21r_L,43,A12/47o_L,-1
5,-14.0,102,38.93129770992366, -57 -30 -3,aSTS_L,43,A12/47o_L,-1
5,-10.0,1,0.8, -60 -21 -18,A20il_L,43,A12/47o_L,-1
5,-10.0,4,2.985074626865672, -57 -42 -9,A20cl_L,43,A12/47o_L,-1
5,-15.0,31,37.34939759036145, -54 -39 0,rpSTS_L,43,A12/47o_L,-1
5,-10.0,1,0.9259259259259259, -57 -45 3,cpSTS_L,43,A12/47o_L,-1
6,-11.0,2,0.7633587786259542, -48 -24 -12,aSTS_L,43,A12/47o_L,-1
7,-10.0,1,0.5025125628140703, -66 -45 9,A37dl_L,43,A12/47o_L,-1
1,-11.0,1,0.33222591362126247, 57 -9 -21,A21r_R,47,A11m_L,-1
2,-10.0,3,0.9375, 12 -66 24,dmPOS_R,47,A11m_L,-1
2,-10.0,2,0.8968609865470852, 3 -72 21,rCunG_R,47,A11m_L,-1
2,-11.0,6,1.9292604501607717, 6 -72 24,vmPOS_R,47,A11m_L,-1
3,-10.0,1,0.3125, 12 -54 21,dmPOS_R,47,A11m_L,-1
4,-10.0,1,0.3125, 9 -57 21,dmPOS_R,47,A11m_L,-1
5,-10.0,1,0.3125, 6 -57 18,dmPOS_R,47,A11m_L,-1
5,-10.0,9,3.474903474903475, 6 -54 18,A31_R,47,A11m_L,-1
5,-12.0,3,3.75, 6 -45 21,A23v_R,47,A11m_L,-1
5,-10.0,1,0.3215434083601286, 3 -60 18,vmPOS_R,47,A11m_L,-1
6,-10.0,1,0.3125, 6 -60 21,dmPOS_R,47,A11m_L,-1
7,-11.0,30,11.583011583011583, -9 -66 18,dmPOS_L,47,A11m_L,-1
7,-10.0,1,0.9900990099009901, -9 -54 9,A23v_L,47,A11m_L,-1
7,-10.0,24,8.0, -9 -63 12,vmPOS_L,47,A11m_L,-1
8,-11.0,1,0.29850746268656714, -3 -60 3,Left I-IV,47,A11m_L,-1
9,-10.0,5,3.048780487804878, -6 69 -3,A14m_L,47,A11m_L,-1
10,-10.0,1,0.37174721189591076, -15 36 42,A8dl_L,47,A11m_L,-1
11,-10.0,1,0.37174721189591076, -18 33 39,A8dl_L,47,A11m_L,-1
1,-13.0,16,5.3156146179401995, 60 -9 -24,A21r_R,48,A11m_R,-1
1,-12.0,3,0.8771929824561403, 57 -9 -18,aSTS_R,48,A11m_R,-1
1,-14.0,1,0.704225352112676, 57 -9 -27,A20il_R,48,A11m_R,-1
2,-10.0,2,0.5847953216374269, 57 -15 -12,aSTS_R,48,A11m_R,-1
3,-10.0,4,2.197802197802198, 42 15 39,IFJ_R,48,A11m_R,-1
4,-12.0,1,0.5494505494505495, 39 15 36,IFJ_R,48,A11m_R,-1
5,-17.0,87,33.59073359073359, -9 -60 15,dmPOS_L,48,A11m_R,-1
5,-13.0,63,19.6875, 12 -57 18,dmPOS_R,48,A11m_R,-1
5,-13.0,115,48.319327731092436, -3 -60 24,A31_L,48,A11m_R,-1
5,-15.0,88,33.97683397683398, 6 -57 24,A31_R,48,A11m_R,-1
5,-15.0,43,28.104575163398692, -3 -51 27,A23d_L,48,A11m_R,-1
5,-15.0,13,12.149532710280374, 6 -48 24,A23d_R,48,A11m_R,-1
5,-17.0,30,29.702970297029704, -6 -54 9,A23v_L,48,A11m_R,-1
5,-10.0,36,45.0, 6 -48 12,A23v_R,48,A11m_R,-1
