ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal
A21c_L,IFJ_R,1,0,FALSE,FALSE
A21c_L,IFS_L,1,0,FALSE,FALSE
A21c_L,mOccG_L,1,0,FALSE,FALSE
A21c_L,rCunG_R,1,0,FALSE,FALSE
A21c_L,Right Crus I,1,0,FALSE,FALSE
A21c_L,Right Crus II,1,0,FALSE,FALSE
A21c_L,vmPOS_L,1,0,FALSE,FALSE
A21c_L,vmPOS_R,1,0,FALSE,FALSE
A21r_L,A10m_R,1,0,FALSE,FALSE
A21r_L,A11m_L,1,0,FALSE,FALSE
A21r_L,A11m_R,1,0,FALSE,FALSE
A21r_L,A12/47l_L,1,0,FALSE,FALSE
A21r_L,A12/47o_L,1,0,FALSE,FALSE
A21r_L,A14m_L,1,0,FALSE,FALSE
A21r_L,A20il_L,1,0,FALSE,FALSE
A21r_L,A21c_L,1,0,FALSE,FALSE
A21r_L,A21c_R,1,0,FALSE,FALSE
A21r_L,A21r_R,1,0,FALSE,FALSE
A21r_L,A22c_L,1,0,FALSE,FALSE
A21r_L,A22c_R,1,0,FALSE,FALSE
A21r_L,A22r_R,1,0,FALSE,FALSE
A21r_L,A23c_L,1,0,FALSE,FALSE
A21r_L,A23c_R,1,0,FALSE,FALSE
A21r_L,A23d_R,1,0,FALSE,FALSE
A21r_L,A23v_L,1,0,FALSE,FALSE
A21r_L,A23v_R,1,0,FALSE,FALSE
A21r_L,A31_L,1,0,FALSE,FALSE
A21r_L,A32p_L,1,0,FALSE,FALSE
A21r_L,A32sg_R,1,0,FALSE,FALSE
A21r_L,A39c_L,1,0,FALSE,FALSE
A21r_L,A39rd_L,1,0,FALSE,FALSE
A21r_L,A39rd_R,1,0,FALSE,FALSE
A21r_L,A39rv_R,1,0,FALSE,FALSE
A21r_L,A40rv_L,1,0,FALSE,FALSE
A21r_L,A41/42_L,1,0,FALSE,FALSE
A21r_L,A46_R,1,0,FALSE,FALSE
A21r_L,A4ll_L,1,0,FALSE,FALSE
A21r_L,A5m_L,1,0,FALSE,FALSE
A21r_L,A8dl_R,1,0,FALSE,FALSE
A21r_L,A8m_L,1,0,FALSE,FALSE
A21r_L,A9/46d_L,1,0,FALSE,FALSE
A21r_L,A9/46d_R,1,0,FALSE,FALSE
A21r_L,A9l_R,1,0,FALSE,FALSE
A21r_L,A9m_L,1,0,FALSE,FALSE
A21r_L,A9m_R,1,0,FALSE,FALSE
A21r_L,aSTS_R,1,0,FALSE,FALSE
A21r_L,cpSTS_L,1,0,FALSE,FALSE
A21r_L,dmPOS_L,1,0,FALSE,FALSE
A21r_L,Left I-IV,1,0,FALSE,FALSE
A21r_L,rCunG_L,1,0,FALSE,FALSE
A21r_L,rCunG_R,1,0,FALSE,FALSE
A21r_L,rpSTS_L,1,0,FALSE,FALSE
A21r_L,vmPOS_L,1,0,FALSE,FALSE
A21r_L,vmPOS_R,1,0,FALSE,FALSE
A21r_R,A1/2/3ll_L,1,0,FALSE,FALSE
A21r_R,A1/2/3ll_R,1,0,FALSE,FALSE
A21r_R,A10m_R,1,0,FALSE,FALSE
A21r_R,A12/47o_L,1,0,FALSE,FALSE
A21r_R,A14m_L,1,0,FALSE,FALSE
A21r_R,A14m_R,1,0,FALSE,FALSE
A21r_R,A20cl_R,1,0,FALSE,FALSE
A21r_R,A20cv_R,1,0,FALSE,FALSE
A21r_R,A20il_R,1,0,FALSE,FALSE
A21r_R,A21c_R,1,0,FALSE,FALSE
A21r_R,A21r_L,1,0,FALSE,FALSE
A21r_R,A23c_L,1,0,FALSE,FALSE
A21r_R,A23c_R,1,0,FALSE,FALSE
A21r_R,A23d_L,1,0,FALSE,FALSE
A21r_R,A23d_R,1,0,FALSE,FALSE
A21r_R,A23v_L,1,0,FALSE,FALSE
A21r_R,A23v_R,1,0,FALSE,FALSE
A21r_R,A24rv_L,1,0,FALSE,FALSE
A21r_R,A32p_L,1,0,FALSE,FALSE
A21r_R,A32p_R,1,0,FALSE,FALSE
A21r_R,A32sg_R,1,0,FALSE,FALSE
A21r_R,A39c_L,1,0,FALSE,FALSE
A21r_R,A39rd_L,1,0,FALSE,FALSE
A21r_R,A39rd_R,1,0,FALSE,FALSE
A21r_R,A39rv_R,1,0,FALSE,FALSE
A21r_R,A40c_L,1,0,FALSE,FALSE
A21r_R,A40rv_L,1,0,FALSE,FALSE
A21r_R,A46_R,1,0,FALSE,FALSE
A21r_R,A4ll_L,1,0,FALSE,FALSE
A21r_R,A4ll_R,1,0,FALSE,FALSE
A21r_R,A5m_L,1,0,FALSE,FALSE
A21r_R,A5m_R,1,0,FALSE,FALSE
A21r_R,A7m_L,1,0,FALSE,FALSE
A21r_R,A8dl_L,1,0,FALSE,FALSE
A21r_R,A8vl_R,1,0,FALSE,FALSE
A21r_R,A9/46d_L,1,0,FALSE,FALSE
A21r_R,A9/46d_R,1,0,FALSE,FALSE
A21r_R,A9l_R,1,0,FALSE,FALSE
A21r_R,A9m_L,1,0,FALSE,FALSE
A21r_R,A9m_R,1,0,FALSE,FALSE
A21r_R,aSTS_R,1,0,FALSE,FALSE
A21r_R,cpSTS_L,1,0,FALSE,FALSE
A21r_R,dmPOS_L,1,0,FALSE,FALSE
A21r_R,dmPOS_R,1,0,FALSE,FALSE
A21r_R,IFJ_R,1,0,FALSE,FALSE
A21r_R,Left I-IV,1,0,FALSE,FALSE
A21r_R,rCunG_R,1,0,FALSE,FALSE
A21r_R,rpSTS_L,1,0,FALSE,FALSE
A21r_R,V5/MT+_L,1,0,FALSE,FALSE
A21r_R,vmPOS_L,1,0,FALSE,FALSE
