ROI_name,Region Name,SUM of UC,SUM of OC,Inconsistency,Equal,Label
A21r_R,A9m_R,1,0,False,False,52
A21r_R,aSTS_R,1,0,False,False,Single
A21r_R,cpSTS_L,1,0,False,False,Single
A21r_R,dmPOS_L,1,0,False,False,53
A21r_R,dmPOS_R,1,0,False,False,Single
A21r_R,IFJ_R,1,0,False,False,Single
A21r_R,Left I-IV,1,0,False,False,Single
A21r_R,rCunG_R,1,0,False,False,Single
A21r_R,rpSTS_L,1,0,False,False,54
A21r_R,V5/MT+_L,1,0,False,False,Single
A21r_R,vmPOS_L,1,0,False,False,55
A21r_R,vmPOS_R,1,0,False,False,Single
A22r_L,A1/2/3tonIa_L,1,0,False,False,Single
A22r_L,A40rv_L,1,0,False,False,Single
A23c_L,mAmyg_L,1,0,False,False,Single
A23c_L,vmPu_R,1,0,False,False,56
A23c_R,A28/34_R,1,0,False,False,Single
A23c_R,A32sg_R,1,0,False,False,Single
A23c_R,A38m_R,1,0,False,False,Single
A23c_R,NAC_R,1,0,False,False,Single
A23c_R,rHipp_R,1,0,False,False,Single
A23v_L,A21c_R,1,0,False,False,Single
A23v_L,aSTS_L,1,0,False,False,Single
A23v_R,A10m_R,1,0,False,False,Single
A23v_R,A13_L,1,0,False,False,Single
A23v_R,A13_R,1,0,False,False,Single
A23v_R,A23v_R,1,0,False,True,Single
A23v_R,A31_L,1,0,False,False,Single
A23v_R,A32sg_L,1,0,False,False,57
A24rv_R,A1/2/3tru_R,1,0,False,False,Single
A24rv_R,A23c_L,1,0,False,False,Single
A24rv_R,A23c_R,1,0,False,False,Single
A24rv_R,A23d_R,1,0,False,False,Single
A24rv_R,A38m_R,1,0,False,False,Single
A24rv_R,G_R,1,0,False,False,Single
A24rv_R,Left IX,1,0,False,False,Single
A24rv_R,Vermis IX,1,0,False,False,Single
A31_L,A10m_L,1,0,False,False,Single
A31_L,A11m_L,1,0,False,False,Single
A31_L,A11m_R,1,0,False,False,Single
A31_L,A22r_L,1,0,False,False,Single
A31_L,A23d_L,1,0,False,False,Single
A31_L,A38l_L,1,0,False,False,Single
A31_L,A38l_R,1,0,False,False,Single
A31_L,A38m_L,1,0,False,False,Single
A31_L,A38m_R,1,0,False,False,Single
A31_L,aSTS_L,1,0,False,False,58
A31_L,vmPOS_R,1,0,False,False,Single
A32p_L,A23c_L,1,0,False,False,Single
A32p_L,A23c_R,1,0,False,False,Single
A32p_L,A23d_R,1,0,False,False,Single
A32p_L,A35/36c_R,1,0,False,False,Single
A32p_L,A38m_R,1,0,False,False,59
A32p_L,A39rv_R,1,0,False,False,Single
A32p_L,Left IX,1,0,False,False,Single
A32p_L,Left VI,1,0,False,False,Single
A32p_L,lPFtha_L,1,0,False,False,Single
A32p_L,mPFtha_L,1,0,False,False,Single
A32p_L,Vermis IX,1,0,False,False,Single
A32sg_L,A23c_L,1,0,False,False,Single
A32sg_L,A23c_R,1,0,False,False,Single
A32sg_L,A31_L,1,0,False,False,Single
A32sg_L,A31_R,1,0,False,False,Single
A32sg_L,A38m_R,1,0,False,False,Single
A32sg_L,A39rv_R,1,0,False,False,Single
A32sg_L,dmPOS_L,1,0,False,False,Single
A32sg_L,Left IX,1,0,False,False,Single
A32sg_L,rCunG_R,1,0,False,False,Single
A32sg_L,vmPOS_R,1,0,False,False,Single
A35/36r_R,Left I-IV,1,0,False,False,Single
A35/36r_R,rLinG_L,1,0,False,False,Single
A35/36r_R,TH_L,1,0,False,False,Single
A35/36r_R,vmPOS_R,1,0,False,False,Single
A37dl_R,A39c_R,1,0,False,False,Single
A37dl_R,A4ul_R,1,0,False,False,Single
A37dl_R,A6cdl_R,1,0,False,False,Single
A37dl_R,dmPOS_R,1,0,False,False,Single
A37dl_R,V5/MT+_R,1,0,False,False,Single
A37elv_L,A2_L,1,0,False,False,Single
A37elv_L,A39rd_L,1,0,False,False,Single
A37elv_L,A40c_L,1,0,False,False,Single
A37elv_L,A40c_R,1,0,False,False,Single
A37elv_L,A40rv_L,1,0,False,False,Single
A37elv_L,A40rv_R,1,0,False,False,Single
A37elv_L,A5l_L,1,0,False,False,60
A37elv_L,A6cdl_L,1,0,False,False,Single
A37elv_L,A6cdl_R,1,0,False,False,Single
A37elv_L,A6cvl_L,1,0,False,False,Single
A37elv_L,A6dl_R,1,0,False,False,Single
A37elv_L,A6vl_R,1,0,False,False,Single
A37elv_L,A7c_L,1,0,False,False,Single
A37elv_L,A7ip_L,1,0,False,False,Single
A37elv_R,A2_L,1,0,False,False,Single
A37elv_R,A31_R,1,0,False,False,Single
A37elv_R,A39c_L,1,0,False,False,Single
A37elv_R,A39c_R,1,0,False,False,Single
A37elv_R,A39rd_R,1,0,False,False,Single
A37elv_R,A40rd_L,1,0,False,False,Single
A37elv_R,A40rd_R,1,0,False,False,Single
A37elv_R,A5l_L,1,0,False,False,61
A37elv_R,A5m_R,1,0,False,False,Single
A37elv_R,A6cdl_L,1,0,False,False,Single
A37elv_R,A6cdl_R,1,0,False,False,Single
A37elv_R,A6dl_L,1,0,False,False,Single
A37elv_R,A6dl_R,1,0,False,False,Single
A37elv_R,A6vl_L,1,0,False,False,Single
A37elv_R,A6vl_R,1,0,False,False,Single
A37elv_R,A7c_L,1,0,False,False,Single
A37elv_R,A7c_R,1,0,False,False,62
A37elv_R,A7ip_L,1,0,False,False,63
A37elv_R,A7m_R,1,0,False,False,Single
A37elv_R,A7r_R,1,0,False,False,Single
A37elv_R,IFJ_R,1,0,False,False,Single
A37elv_R,lsOccG_L,1,0,False,False,Single
A37elv_R,lsOccG_R,1,0,False,False,64
A37elv_R,mOccG_R,1,0,False,False,Single
A37elv_R,msOccG_L,1,0,False,False,Single
A37elv_R,msOccG_R,1,0,False,False,Single
A37elv_R,Right VIIb,1,0,False,False,Single
A37elv_R,V5/MT+_R,1,0,False,False,Single
A37elv_R,vmPOS_L,1,0,False,False,Single
A37lv_L,A24cd_R,1,0,False,False,Single
A37lv_L,A24rv_R,1,0,False,False,Single
